Grid_ID,Lat,Lon,All_Richness,Widespread_Richness,Intermediate_Richness,Restricted_Richness,Highly_restricted_Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,HII,MDE_Continent,MDE_Globe,TEMPWATER
7370,26.5160007,-98.5,60,53,7,,,North America,28.70724996,577.4709722,22.99652777,0.015302099,6.953214508,-1.899899067,-3.411728926,-86.95006944,201,79.76041667,18.06631944,51.14,47.03,25.02894755
7371,26.5160007,-97.5,85,71,11,3,,North America,25.19729839,677.6371154,22.6543068,0.022230298,20.36956195,0.327752819,-3.644501149,-85.66909722,25,11.68181818,18.26749971,46.94,42.88,25.15928262
7373,26.5160007,-82.5,101,79,17,5,,North America,21.57398186,1277.202112,23.14687975,0.000490541,1.060944298,0.003737926,-1.500942998,28.37006944,16,4.619047619,32.66362126,27.27,28.74,24.22304337
7374,26.5160007,-81.5,194,136,44,14,,North America,21.92886763,1292.024729,23.18209314,0.017267749,19.6144565,0.07008832,-1.363130772,-6.6175,19,10.75232775,21.84689141,28.52,29.29,24.48798381
7375,26.5160007,-80.5,167,123,35,9,,North America,19.93828623,1398.543219,23.45727055,0.142371042,83.83364296,0.277526528,-1.35071586,-92.69527778,14,7.421338156,21.47654046,27.39,28.81,24.88251968
7377,26.5160007,-78.5,16,14,2,,,North America,16.22946961,1443.968939,24.60431505,0.000515625,1.142499995,0.003903349,-1.059150669,-182.6177083,8,3.617021277,25.53829161,11.8,12.79,25.97872912
7378,26.5160007,-77.5,23,21,2,,,North America,14.88791953,1287.921141,24.49007972,0.000678625,1.799499993,0.004950869,-0.999534754,-260.3104167,14,2.944099379,19.47922288,12.27,13.23,25.25868726
7380,26.5160007,-14.5,3,2,1,,,Africa,16.79960719,38.41204714,21.19448568,0.000450002,0.692611456,0.00346783,-3.410634815,-158.2656944,117,66.04761905,8.074550129,15.6,22.98,24.39599791
7381,26.5160007,-13.5,9,6,2,,1,Africa,19.40227368,29.0993989,21.18790797,0.001598,1.173999971,0.010289526,-3.587128434,-145.1052083,198,110.2610526,8.470205569,16.03,23.57,22.85759079
7383,26.5160007,-11.5,18,10,5,2,1,Africa,25.62636109,29.15743056,22.08810879,3.86E-05,0.050500001,0.00039192,-3.440989028,-93.49569444,350,282.9270833,1.293819444,15.7,22.97,23.41564959
