Species,Genus,Family,RangeSize,Groups
Ludwigia palustris,Ludwigia,Onagraceae,669,Widespread
Carex atherodes,Carex,Cyperaceae,667,Widespread
Juncus bulbosus,Juncus,Juncaceae,667,Widespread
Cyperus fuscus,Cyperus,Cyperaceae,658,Widespread
Juncus inflexus,Juncus,Juncaceae,657,Widespread
Lobelia cardinalis,Lobelia,Campanulaceae,657,Widespread
Commelina benghalensis,Commelina,Commelinaceae,654,Widespread
Epilobium hornemannii,Epilobium,Onagraceae,654,Widespread
Mentha pulegium,Mentha,Lamiaceae,654,Widespread
Cicuta maculata,Cicuta,Apiaceae,648,Widespread
Utricularia australis,Utricularia,Lentibulariaceae,648,Widespread
Isoetes echinospora,Isoetes,Isoetaceae,647,Widespread
Ranunculus lingua,Ranunculus,Ranunculaceae,645,Widespread
Rorippa amphibia,Rorippa,Brassicaceae,644,Widespread
Callitriche hermaphroditica,Callitriche,Plantaginaceae,639,Widespread
Carex riparia,Carex,Cyperaceae,639,Widespread
Apium graveolens,Apium,Apiaceae,622,Widespread
Centipeda minima,Centipeda,Asteraceae,622,Widespread
Commelina communis,Commelina,Commelinaceae,619,Widespread
Ludwigia leptocarpa,Ludwigia,Onagraceae,619,Widespread
Stuckenia filiformis,Stuckenia,Potamogetonaceae,618,Widespread
Azolla filiculoides,Azolla,Salviniaceae,611,Widespread
Potamogeton friesii,Potamogeton,Potamogetonaceae,611,Widespread
Carex acutiformis,Carex,Cyperaceae,610,Widespread
Sium latifolium,Sium,Apiaceae,606,Widespread
Lemna gibba,Lemna,Araceae,602,Widespread
Cardamine pensylvanica,Cardamine,Brassicaceae,600,Widespread
Megathyrsus maximus,Megathyrsus,Poaceae,589,Widespread
Paspalum distichum,Paspalum,Poaceae,588,Widespread
Cadiscus aquaticus,Cadiscus,Asteraceae,586,Widespread
Samolus valerandi,Samolus,Primulaceae,586,Widespread
Colocasia esculenta,Colocasia,Araceae,584,Widespread
Isoetes lacustris,Isoetes,Isoetaceae,583,Widespread
Callitriche stagnalis,Callitriche,Plantaginaceae,581,Widespread
Cladium mariscus,Cladium,Cyperaceae,580,Widespread
Lythrum hyssopifolia,Lythrum,Lythraceae,577,Widespread
Potamogeton obtusifolius,Potamogeton,Potamogetonaceae,573,Widespread
Glyceria notata,Glyceria,Poaceae,572,Widespread
Carex disticha,Carex,Cyperaceae,568,Widespread
Isolepis cernua,Isolepis,Cyperaceae,564,Widespread
Bacopa monnieri,Bacopa,Plantaginaceae,562,Widespread
Carex elata,Carex,Cyperaceae,558,Widespread
Oenanthe aquatica,Oenanthe,Apiaceae,558,Widespread
Carex livida,Carex,Cyperaceae,552,Widespread
Equisetum laevigatum,Equisetum,Equisetaceae,549,Widespread
Houttuynia cordata,Houttuynia,Saururaceae,549,Widespread
Glyceria grandis,Glyceria,Poaceae,544,Widespread
Iris sibirica,Iris,Iridaceae,542,Widespread
Nymphaea candida,Nymphaea,Nymphaeaceae,542,Widespread
Potamogeton foliosus,Potamogeton,Potamogetonaceae,535,Widespread
Andropogon bicornis,Andropogon,Poaceae,532,Widespread
Cyperus luzulae,Cyperus,Cyperaceae,532,Widespread
Subularia aquatica,Subularia,Brassicaceae,532,Widespread
Cyperus surinamensis,Cyperus,Cyperaceae,530,Widespread
Potamogeton richardsonii,Potamogeton,Potamogetonaceae,528,Widespread
Blysmus compressus,Blysmus,Cyperaceae,527,Widespread
Ranunculus hyperboreus,Ranunculus,Ranunculaceae,527,Widespread
Tephroseris palustris,Tephroseris,Asteraceae,523,Widespread
Lindernia dubia,Lindernia,Linderniaceae,522,Widespread
Sacciolepis indica,Sacciolepis,Poaceae,522,Widespread
Lysimachia ciliata,Lysimachia,Primulaceae,520,Widespread
Lemna aequinoctialis,Lemna,Araceae,519,Widespread
Carex appropinquata,Carex,Cyperaceae,517,Widespread
Fimbristylis complanata,Fimbristylis,Cyperaceae,514,Widespread
Trapa natans,Trapa,Lythraceae,511,Widespread
Juncus ranarius,Juncus,Juncaceae,510,Widespread
Persicaria minor,Persicaria,Polygonaceae,510,Widespread
Lythrum portula,Lythrum,Lythraceae,509,Widespread
Ipomoea aquatica,Ipomoea,Convolvulaceae,508,Widespread
Carex rotundata,Carex,Cyperaceae,507,Widespread
Ipomoea alba,Ipomoea,Convolvulaceae,505,Widespread
Elodea canadensis,Elodea,Hydrocharitaceae,503,Widespread
Brasenia schreberi,Brasenia,Cabombaceae,502,Widespread
Eleocharis mamillata,Eleocharis,Cyperaceae,501,Widespread
Salvinia natans,Salvinia,Salviniaceae,500,Widespread
Alisma gramineum,Alisma,Alismataceae,498,Widespread
Thalia geniculata,Thalia,Marantaceae,497,Widespread
Eleocharis macrostachya,Eleocharis,Cyperaceae,493,Widespread
Isolepis setacea,Isolepis,Cyperaceae,492,Widespread
Xyris jupicai,Xyris,Xyridaceae,492,Widespread
Stellaria aquatica,Stellaria,Caryophyllaceae,490,Widespread
Alopecurus magellanicus,Alopecurus,Poaceae,489,Widespread
Mecardonia procumbens,Mecardonia,Plantaginaceae,489,Widespread
Stratiotes aloides,Stratiotes,Hydrocharitaceae,489,Widespread
Sagittaria cuneata,Sagittaria,Alismataceae,486,Widespread
Schoenoplectus acutus,Schoenoplectus,Cyperaceae,483,Widespread
Cleome gynandra,Cleome,Cleomaceae,480,Widespread
Juncus nodosus,Juncus,Juncaceae,480,Widespread
Ceratopteris thalictroides,Ceratopteris,Pteridaceae,478,Widespread
Cyperus eragrostis,Cyperus,Cyperaceae,476,Widespread
Carex lenticularis,Carex,Cyperaceae,470,Widespread
Glyceria borealis,Glyceria,Poaceae,469,Widespread
Scirpus cyperinus,Scirpus,Cyperaceae,469,Widespread
Rumex hydrolapathum,Rumex,Polygonaceae,466,Widespread
Callitriche hamulata,Callitriche,Plantaginaceae,462,Widespread
Persicaria decipiens,Persicaria,Polygonaceae,462,Widespread
Carex paniculata,Carex,Cyperaceae,461,Widespread
Nymphoides peltata,Nymphoides,Menyanthaceae,461,Widespread
Agrostis perennans,Agrostis,Poaceae,460,Widespread
Alisma lanceolatum,Alisma,Alismataceae,460,Widespread
Najas guadalupensis,Najas,Hydrocharitaceae,459,Widespread
Cyperus articulatus,Cyperus,Cyperaceae,458,Widespread
Nymphaea odorata,Nymphaea,Nymphaeaceae,457,Widespread
Lobelia dortmanna,Lobelia,Campanulaceae,456,Widespread
Acroceras zizanioides,Acroceras,Poaceae,453,Widespread
Nelumbo nucifera,Nelumbo,Nelumbonaceae,453,Widespread
Veronica catenata,Veronica,Plantaginaceae,451,Widespread
Ludwigia decurrens,Ludwigia,Onagraceae,450,Widespread
Schoenus nigricans,Schoenus,Cyperaceae,446,Widespread
Alisma triviale,Alisma,Alismataceae,443,Widespread
Hydrilla verticillata,Hydrilla,Hydrocharitaceae,443,Widespread
Arundo donax,Arundo,Poaceae,442,Widespread
Nymphaea tetragona,Nymphaea,Nymphaeaceae,441,Widespread
Eleocharis obtusa,Eleocharis,Cyperaceae,440,Widespread
Ipomoea carnea,Ipomoea,Convolvulaceae,440,Widespread
Ludwigia hyssopifolia,Ludwigia,Onagraceae,439,Widespread
Nuphar pumila,Nuphar,Nymphaeaceae,439,Widespread
Scleria gaertneri,Scleria,Cyperaceae,439,Widespread
Iris versicolor,Iris,Iridaceae,438,Widespread
Ranunculus circinatus,Ranunculus,Ranunculaceae,436,Widespread
Utricularia subulata,Utricularia,Lentibulariaceae,436,Widespread
Fimbristylis cymosa,Fimbristylis,Cyperaceae,435,Widespread
Hydrocotyle ranunculoides,Hydrocotyle,Araliaceae,432,Widespread
Dupontia fulva,Dupontia,Poaceae,429,Widespread
Hydrocotyle verticillata,Hydrocotyle,Araliaceae,428,Widespread
Halerpestes cymbalaria,Halerpestes,Ranunculaceae,427,Widespread
Calamagrostis inexpansa,Calamagrostis,Poaceae,426,Widespread
Cyperus laevigatus,Cyperus,Cyperaceae,426,Widespread
Persicaria sagittata,Persicaria,Polygonaceae,425,Widespread
Elodea densa,Elodea,Hydrocharitaceae,424,Widespread
Eleocharis ovata,Eleocharis,Cyperaceae,423,Widespread
Rhynchospora berteroi,Rhynchospora,Cyperaceae,423,Widespread
Teucrium scordium,Teucrium,Lamiaceae,423,Widespread
Cyperus distans,Cyperus,Cyperaceae,420,Widespread
Urochloa mutica,Urochloa,Poaceae,420,Widespread
Cuphea carthagenensis,Cuphea,Lythraceae,415,Widespread
Cyperus cuspidatus,Cyperus,Cyperaceae,415,Widespread
Mimulus ringens,Mimulus,Phrymaceae,414,Widespread
Potamogeton compressus,Potamogeton,Potamogetonaceae,414,Widespread
Nuphar variegata,Nuphar,Nymphaeaceae,413,Widespread
Hydrocotyle sibthorpioides,Hydrocotyle,Araliaceae,412,Widespread
Cyperus longus,Cyperus,Cyperaceae,410,Widespread
Fimbristylis ferruginea,Fimbristylis,Cyperaceae,410,Widespread
Hymenachne amplexicaulis,Hymenachne,Poaceae,410,Widespread
Juncus acuminatus,Juncus,Juncaceae,410,Widespread
Cyperus strigosus,Cyperus,Cyperaceae,407,Widespread
Panicum repens,Panicum,Poaceae,407,Widespread
Callitriche heterophylla,Callitriche,Plantaginaceae,404,Widespread
Eleocharis erythropoda,Eleocharis,Cyperaceae,403,Widespread
Oenanthe javanica,Oenanthe,Apiaceae,403,Widespread
Aeschynomene americana,Aeschynomene,Fabaceae,402,Widespread
Diplachne fusca,Diplachne,Poaceae,402,Widespread
Hydrolea spinosa,Hydrolea,Hydroleaceae,401,Widespread
Peucedanum palustre,Peucedanum,Apiaceae,397,Widespread
Azolla pinnata,Azolla,Salviniaceae,396,Widespread
Eleocharis acutangula,Eleocharis,Cyperaceae,396,Widespread
Fimbristylis autumnalis,Fimbristylis,Cyperaceae,396,Widespread
Potamogeton polygonifolius,Potamogeton,Potamogetonaceae,396,Widespread
Typha laxmannii,Typha,Typhaceae,394,Widespread
Cyperus ligularis,Cyperus,Cyperaceae,392,Widespread
Dulichium arundinaceum,Dulichium,Cyperaceae,391,Widespread
Cyperus amabilis,Cyperus,Cyperaceae,387,Widespread
Paspalum vaginatum,Paspalum,Poaceae,385,Widespread
Pontederia vaginalis,Pontederia,Pontederiaceae,385,Widespread
Aeschynomene sensitiva,Aeschynomene,Fabaceae,384,Widespread
Hottonia palustris,Hottonia,Primulaceae,379,Widespread
Torreyochloa pallida,Torreyochloa,Poaceae,379,Widespread
Callitriche cophocarpa,Callitriche,Plantaginaceae,377,Widespread
Lemna turionifera,Lemna,Araceae,375,Widespread
Schoenoplectus americanus,Schoenoplectus,Cyperaceae,375,Widespread
Schoenoplectus triqueter,Schoenoplectus,Cyperaceae,375,Widespread
Sparganium eurycarpum,Sparganium,Typhaceae,375,Widespread
Hedychium coronarium,Hedychium,Zingiberaceae,374,Widespread
Isachne globosa,Isachne,Poaceae,373,Widespread
Eleocharis elegans,Eleocharis,Cyperaceae,370,Widespread
Sagittaria trifolia,Sagittaria,Alismataceae,370,Widespread
Potamogeton epihydrus,Potamogeton,Potamogetonaceae,369,Widespread
Leptochloa panicea,Leptochloa,Poaceae,368,Widespread
Potamogeton trichoides,Potamogeton,Potamogetonaceae,368,Widespread
Ammannia coccinea,Ammannia,Lythraceae,366,Widespread
Bidens radiata,Bidens,Asteraceae,366,Widespread
Rotala ramosior,Rotala,Lythraceae,366,Widespread
Hydrocotyle vulgaris,Hydrocotyle,Araliaceae,365,Widespread
Bolboschoenus planiculmis,Bolboschoenus,Cyperaceae,362,Widespread
Lobelia siphilitica,Lobelia,Campanulaceae,361,Widespread
Rhynchospora nervosa,Rhynchospora,Cyperaceae,361,Widespread
Oryza longistaminata,Oryza,Poaceae,360,Widespread
Littorella uniflora,Littorella,Plantaginaceae,357,Widespread
Rhynchospora rugosa,Rhynchospora,Cyperaceae,357,Widespread
Typha orientalis,Typha,Typhaceae,357,Widespread
Hydrocotyle bonariensis,Hydrocotyle,Araliaceae,354,Widespread
Rhynchospora holoschoenoides,Rhynchospora,Cyperaceae,352,Widespread
Eryngium foetidum,Eryngium,Apiaceae,351,Widespread
Juncus ensifolius,Juncus,Juncaceae,350,Widespread
Marsilea hirsuta,Marsilea,Marsileaceae,349,Widespread
Salvinia auriculata,Salvinia,Salviniaceae,349,Widespread
Carex crawfordii,Carex,Cyperaceae,348,Widespread
Ceratophyllum submersum,Ceratophyllum,Ceratophyllaceae,347,Widespread
Iris setosa,Iris,Iridaceae,347,Widespread
Isolepis fluitans,Isolepis,Cyperaceae,345,Widespread
Najas flexilis,Najas,Hydrocharitaceae,345,Widespread
Ammannia auriculata,Ammannia,Lythraceae,344,Widespread
Helosciadium nodiflorum,Helosciadium,Apiaceae,344,Widespread
Scolochloa festucacea,Scolochloa,Poaceae,343,Widespread
Eleocharis filiculmis,Eleocharis,Cyperaceae,340,Widespread
Fimbristylis squarrosa,Fimbristylis,Cyperaceae,338,Widespread
Utricularia cornuta,Utricularia,Lentibulariaceae,337,Widespread
Bulbostylis densa,Bulbostylis,Cyperaceae,336,Widespread
Ranunculus macounii,Ranunculus,Ranunculaceae,336,Widespread
Sagittaria natans,Sagittaria,Alismataceae,336,Widespread
Rotala mexicana,Rotala,Lythraceae,335,Widespread
Sphenoclea zeylanica,Sphenoclea,Sphenocleaceae,335,Widespread
Arundinella nepalensis,Arundinella,Poaceae,333,Widespread
Marsilea vestita,Marsilea,Marsileaceae,331,Widespread
Cyperus digitatus,Cyperus,Cyperaceae,330,Widespread
Cyperus imbricatus,Cyperus,Cyperaceae,330,Widespread
Marsilea quadrifolia,Marsilea,Marsileaceae,330,Widespread
Spirodela punctata,Spirodela,Araceae,330,Widespread
Ammannia baccifera,Ammannia,Lythraceae,329,Widespread
Eriocaulon cinereum,Eriocaulon,Eriocaulaceae,329,Widespread
Nymphaea nouchali,Nymphaea,Nymphaeaceae,329,Widespread
