Species,Genus,Family,RangeSize,Groups
Isoetes longissima,Isoetes,Isoetaceae,25,Restricted
Nymphoides x montana,Nymphoides,Menyanthaceae,25,Restricted
Pontederia brevipetiolata,Pontederia,Pontederiaceae,25,Restricted
Rhyncholacis penicillata,Rhyncholacis,Podostemaceae,25,Restricted
Trithuria lanterna,Trithuria,Hydatellaceae,25,Restricted
Utricularia striata,Utricularia,Lentibulariaceae,25,Restricted
Aponogeton madagascariensis,Aponogeton,Aponogetonaceae,24,Restricted
Azolla nilotica,Azolla,Salviniaceae,24,Restricted
Cardamine rotundifolia,Cardamine,Brassicaceae,24,Restricted
Crassula venezuelensis,Crassula,Crassulaceae,24,Restricted
Cyperus camphoratus,Cyperus,Cyperaceae,24,Restricted
Cyperus kernii,Cyperus,Cyperaceae,24,Restricted
Cyperus laetus,Cyperus,Cyperaceae,24,Restricted
Cyperus semiochraceus,Cyperus,Cyperaceae,24,Restricted
Eryngium aristulatum,Eryngium,Apiaceae,24,Restricted
Heteranthoecia guineensis,Heteranthoecia,Poaceae,24,Restricted
Hygrophila abyssinica,Hygrophila,Acanthaceae,24,Restricted
Limnophyton angolense,Limnophyton,Alismataceae,24,Restricted
Lobelia nummularioides,Lobelia,Campanulaceae,24,Restricted
Lobelia paludosa,Lobelia,Campanulaceae,24,Restricted
Myriophyllum implicatum,Myriophyllum,Haloragaceae,24,Restricted
Nymphoides minima,Nymphoides,Menyanthaceae,24,Restricted
Plagiocheilus tanacetoides,Plagiocheilus,Asteraceae,24,Restricted
Podostemum comatum,Podostemum,Podostemaceae,24,Restricted
Potamogeton sibiricus,Potamogeton,Potamogetonaceae,24,Restricted
Rorippa aquatica,Rorippa,Brassicaceae,24,Restricted
Sclerolepis uniflora,Sclerolepis,Asteraceae,24,Restricted
Aeschynomene virginica,Aeschynomene,Fabaceae,23,Restricted
Aquarius uruguayensis,Aquarius,Alismataceae,23,Restricted
Carpha glomerata,Carpha,Cyperaceae,23,Restricted
Coelachne pulchella,Coelachne,Poaceae,23,Restricted
Cuphea mimuloides,Cuphea,Lythraceae,23,Restricted
Eleocharis liesneri,Eleocharis,Cyperaceae,23,Restricted
Eriocaulon alpestre,Eriocaulon,Eriocaulaceae,23,Restricted
Hydrocharis chevalieri,Hydrocharis,Hydrocharitaceae,23,Restricted
Hypericum denudatum,Hypericum,Hypericaceae,23,Restricted
Isoetes flaccida,Isoetes,Isoetaceae,23,Restricted
Isoetes orcuttii,Isoetes,Isoetaceae,23,Restricted
Lobelia exaltata,Lobelia,Campanulaceae,23,Restricted
Marathrum utile,Marathrum,Podostemaceae,23,Restricted
Marsilea capensis,Marsilea,Marsileaceae,23,Restricted
Nymphoides ezannoi,Nymphoides,Menyanthaceae,23,Restricted
Oryza grandiglumis,Oryza,Poaceae,23,Restricted
Podostemum muelleri,Podostemum,Podostemaceae,23,Restricted
Ranunculus populago,Ranunculus,Ranunculaceae,23,Restricted
Rhynchospora hassleri,Rhynchospora,Cyperaceae,23,Restricted
Spermacoce schumannii,Spermacoce,Rubiaceae,23,Restricted
Utricularia platensis,Utricularia,Lentibulariaceae,23,Restricted
Victoria cruziana,Victoria,Nymphaeaceae,23,Restricted
Althenia filiformis,Althenia,Potamogetonaceae,22,Restricted
Anamaria heterophylla,Anamaria,Plantaginaceae,22,Restricted
Anubias heterophylla,Anubias,Araceae,22,Restricted
Aponogeton desertorum,Aponogeton,Aponogetonaceae,22,Restricted
Aponogeton subconjugatus,Aponogeton,Aponogetonaceae,22,Restricted
Bacopa arenaria,Bacopa,Plantaginaceae,22,Restricted
Baldellia alpestris,Baldellia,Alismataceae,22,Restricted
Brunfelsia obovata,Brunfelsia,Solanaceae,22,Restricted
Callitriche heteropoda,Callitriche,Plantaginaceae,22,Restricted
Damasonium bourgaei,Damasonium,Alismataceae,22,Restricted
Elatine macrocalyx,Elatine,Elatinaceae,22,Restricted
Eleocharis barrosii,Eleocharis,Cyperaceae,22,Restricted
Eleocharis densa,Eleocharis,Cyperaceae,22,Restricted
Eleocharis glauca,Eleocharis,Cyperaceae,22,Restricted
Eleocharis marginulata,Eleocharis,Cyperaceae,22,Restricted
Fimbristylis limosa,Fimbristylis,Cyperaceae,22,Restricted
Hydrostachys polymorpha,Hydrostachys,Hydrostachyaceae,22,Restricted
Ottelia acuminata,Ottelia,Hydrocharitaceae,22,Restricted
Oxypolis occidentalis,Oxypolis,Apiaceae,22,Restricted
Panicum pedersenii,Panicum,Poaceae,22,Restricted
Potamogeton polygonus,Potamogeton,Potamogetonaceae,22,Restricted
Ranunculus dichotomus,Ranunculus,Ranunculaceae,22,Restricted
Rhynchospora careyana,Rhynchospora,Cyperaceae,22,Restricted
Rhynchospora pedersenii,Rhynchospora,Cyperaceae,22,Restricted
Schoenoplectiella supina,Schoenoplectiella,Cyperaceae,22,Restricted
Syngonanthus fischerianus,Syngonanthus,Eriocaulaceae,22,Restricted
Trichanthecium pyrularium,Trichanthecium,Poaceae,22,Restricted
Utricularia biloba,Utricularia,Lentibulariaceae,22,Restricted
Wolffia globosa,Wolffia,Araceae,22,Restricted
Aponogeton natans,Aponogeton,Aponogetonaceae,21,Restricted
Aquarius tunicatus,Aquarius,Alismataceae,21,Restricted
Caperonia cordata,Caperonia,Euphorbiaceae,21,Restricted
Coelachne japonica,Coelachne,Poaceae,21,Restricted
Cuphea anagalloidea,Cuphea,Lythraceae,21,Restricted
Cuphea tuberosa,Cuphea,Lythraceae,21,Restricted
Cyperus intricatus,Cyperus,Cyperaceae,21,Restricted
Cyperus redolens,Cyperus,Cyperaceae,21,Restricted
Dracontioides desciscens,Dracontioides,Araceae,21,Restricted
Eleocharis eglerioides,Eleocharis,Cyperaceae,21,Restricted
Eriocaulon magnum,Eriocaulon,Eriocaulaceae,21,Restricted
Eriocaulon microcephalum,Eriocaulon,Eriocaulaceae,21,Restricted
Fimbristylis umbellaris,Fimbristylis,Cyperaceae,21,Restricted
Grammatotheca bergiana,Grammatotheca,Campanulaceae,21,Restricted
Hygrophila guianensis,Hygrophila,Acanthaceae,21,Restricted
Isoetes lechleri,Isoetes,Isoetaceae,21,Restricted
Isoetes mexicana,Isoetes,Isoetaceae,21,Restricted
Jasarum steyermarkii,Jasarum,Araceae,21,Restricted
Juncus scheuchzerioides,Juncus,Juncaceae,21,Restricted
Lagarosiphon ilicifolius,Lagarosiphon,Hydrocharitaceae,21,Restricted
Marsilea burchellii,Marsilea,Marsileaceae,21,Restricted
Najas welwitschii,Najas,Hydrocharitaceae,21,Restricted
Nymphaea pubescens,Nymphaea,Nymphaeaceae,21,Restricted
Pogogyne douglasii,Pogogyne,Lamiaceae,21,Restricted
Pontederia australasica,Pontederia,Pontederiaceae,21,Restricted
Pseudoraphis sordida,Pseudoraphis,Poaceae,21,Restricted
Ptilimnium costatum,Ptilimnium,Apiaceae,21,Restricted
Ranunculus sphaerospermus,Ranunculus,Ranunculaceae,21,Restricted
Rhynchospora duckei,Rhynchospora,Cyperaceae,21,Restricted
Rotala filiformis,Rotala,Lythraceae,21,Restricted
Salvinia cucullata,Salvinia,Salviniaceae,21,Restricted
Salvinia sprucei,Salvinia,Salviniaceae,21,Restricted
Senecio pulcher,Senecio,Asteraceae,21,Restricted
Thalia multiflora,Thalia,Marantaceae,21,Restricted
Wiesneria schweinfurthii,Wiesneria,Alismataceae,21,Restricted
Aponogeton natalensis,Aponogeton,Aponogetonaceae,20,Restricted
Aquarius glaucus,Aquarius,Alismataceae,20,Restricted
Aquarius longiscapus,Aquarius,Alismataceae,20,Restricted
Carex capricornis,Carex,Cyperaceae,20,Restricted
Eleocharis alveolatoides,Eleocharis,Cyperaceae,20,Restricted
Eleocharis naumanniana,Eleocharis,Cyperaceae,20,Restricted
Eleocharis steyermarkii,Eleocharis,Cyperaceae,20,Restricted
Eriocaulon bilobatum,Eriocaulon,Eriocaulaceae,20,Restricted
Hibiscus sororius,Hibiscus,Malvaceae,20,Restricted
Hydrolea corymbosa,Hydrolea,Hydroleaceae,20,Restricted
Isoetes asiatica,Isoetes,Isoetaceae,20,Restricted
Liparophyllum gunnii,Liparophyllum,Menyanthaceae,20,Restricted
Marathrum tenue,Marathrum,Podostemaceae,20,Restricted
Najas tenuissima,Najas,Hydrocharitaceae,20,Restricted
Navarretia involucrata,Navarretia,Polemoniaceae,20,Restricted
Oldenlandia tenuis,Oldenlandia,Rubiaceae,20,Restricted
Paspalum modestum,Paspalum,Poaceae,20,Restricted
Potamogeton paramoanus,Potamogeton,Potamogetonaceae,20,Restricted
Ranunculus mongolicus,Ranunculus,Ranunculaceae,20,Restricted
Sagittaria isoetiformis,Sagittaria,Alismataceae,20,Restricted
Thalia densibracteata,Thalia,Marantaceae,20,Restricted
Utricularia graminifolia,Utricularia,Lentibulariaceae,20,Restricted
Xyris spathacea,Xyris,Xyridaceae,20,Restricted
Bacopa lanigera,Bacopa,Plantaginaceae,19,Restricted
Caperonia stuhlmannii,Caperonia,Euphorbiaceae,19,Restricted
Cyperus elatus,Cyperus,Cyperaceae,19,Restricted
Cyperus nitidus,Cyperus,Cyperaceae,19,Restricted
Echinochloa ugandensis,Echinochloa,Poaceae,19,Restricted
Elodea granatensis,Elodea,Hydrocharitaceae,19,Restricted
Eriocaulon dregei,Eriocaulon,Eriocaulaceae,19,Restricted
Eriocaulon parkeri,Eriocaulon,Eriocaulaceae,19,Restricted
Genlisea glabra,Genlisea,Lentibulariaceae,19,Restricted
Glyceria arkansana,Glyceria,Poaceae,19,Restricted
Habenaria aricaensis,Habenaria,Orchidaceae,19,Restricted
Hypericum rigidum,Hypericum,Hypericaceae,19,Restricted
Iris savannarum,Iris,Iridaceae,19,Restricted
Isoetes alpina,Isoetes,Isoetaceae,19,Restricted
Jaegeria glabra,Jaegeria,Asteraceae,19,Restricted
Lagarosiphon madagascariensis,Lagarosiphon,Hydrocharitaceae,19,Restricted
Montia howellii,Montia,Montiaceae,19,Restricted
Myriophyllum glomeratum,Myriophyllum,Haloragaceae,19,Restricted
Nuphar japonica,Nuphar,Nymphaeaceae,19,Restricted
Ranunculus nipponicus,Ranunculus,Ranunculaceae,19,Restricted
Ranunculus nubigenus,Ranunculus,Ranunculaceae,19,Restricted
Rorippa columbiae,Rorippa,Brassicaceae,19,Restricted
Sagittaria demersa,Sagittaria,Alismataceae,19,Restricted
Salvinia hastata,Salvinia,Salviniaceae,19,Restricted
Typha elephantina,Typha,Typhaceae,19,Restricted
Typhonodorum lindleyanum,Typhonodorum,Araceae,19,Restricted
Utricularia leptoplectra,Utricularia,Lentibulariaceae,19,Restricted
Utricularia nigrescens,Utricularia,Lentibulariaceae,19,Restricted
Wolffiella hyalina,Wolffiella,Araceae,19,Restricted
Aponogeton euryspermus,Aponogeton,Aponogetonaceae,18,Restricted
Aponogeton lakhonensis,Aponogeton,Aponogetonaceae,18,Restricted
Aspidogyne pumila,Aspidogyne,Orchidaceae,18,Restricted
Aspilia latissima,Aspilia,Asteraceae,18,Restricted
Ayenia genistella,Ayenia,Malvaceae,18,Restricted
Ayenia palustris,Ayenia,Malvaceae,18,Restricted
Bolbitis fluviatilis,Bolbitis,Polypodiaceae,18,Restricted
Buchnera cryptocephala,Buchnera,Orobanchaceae,18,Restricted
Callitriche regis-jubae,Callitriche,Plantaginaceae,18,Restricted
Curtia tenuifolia,Curtia,Gentianaceae,18,Restricted
Cyperus leptocarpus,Cyperus,Cyperaceae,18,Restricted
Cyperus neotropicalis,Cyperus,Cyperaceae,18,Restricted
Discolobium psoraleifolium,Discolobium,Fabaceae,18,Restricted
Eleocharis niederleinii,Eleocharis,Cyperaceae,18,Restricted
Elodea potamogeton,Elodea,Hydrocharitaceae,18,Restricted
Equisetum giganteum,Equisetum,Equisetaceae,18,Restricted
Eriocaulon carsonii,Eriocaulon,Eriocaulaceae,18,Restricted
Eryngium paniculatum,Eryngium,Apiaceae,18,Restricted
Hibiscus striatus,Hibiscus,Malvaceae,18,Restricted
Hyptis lappacea,Hyptis,Lamiaceae,18,Restricted
Hyptis lorentziana,Hyptis,Lamiaceae,18,Restricted
Hyptis microphylla,Hyptis,Lamiaceae,18,Restricted
Ipomoea rubens,Ipomoea,Convolvulaceae,18,Restricted
Isoetes novogranadensis,Isoetes,Isoetaceae,18,Restricted
Justicia dumetorum,Justicia,Acanthaceae,18,Restricted
Ludwigia filiformis,Ludwigia,Onagraceae,18,Restricted
Ludwigia tomentosa,Ludwigia,Onagraceae,18,Restricted
Lythrum baeticum,Lythrum,Lythraceae,18,Restricted
Melochia arenosa,Melochia,Malvaceae,18,Restricted
Melochia simplex,Melochia,Malvaceae,18,Restricted
Mikania micrantha,Mikania,Asteraceae,18,Restricted
Myriophyllum lophatum,Myriophyllum,Haloragaceae,18,Restricted
Najas baldwinii,Najas,Hydrocharitaceae,18,Restricted
Najas conferta,Najas,Hydrocharitaceae,18,Restricted
Najas indica,Najas,Hydrocharitaceae,18,Restricted
Nymphaea gracilis,Nymphaea,Nymphaeaceae,18,Restricted
Nymphoides grayana,Nymphoides,Menyanthaceae,18,Restricted
Pavonia opulifolia,Pavonia,Malvaceae,18,Restricted
Pentodon pentandrus,Pentodon,Rubiaceae,18,Restricted
Persicaria paraguayensis,Persicaria,Polygonaceae,18,Restricted
Persicaria stagnina,Persicaria,Polygonaceae,18,Restricted
Pontederia ovalis,Pontederia,Pontederiaceae,18,Restricted
Potamogeton gayi,Potamogeton,Potamogetonaceae,18,Restricted
Regnellidium diphyllum,Regnellidium,Marsileaceae,18,Restricted
Rhabdadenia madida,Rhabdadenia,Apocynaceae,18,Restricted
Rhynchanthera novemnervia,Rhynchanthera,Melastomataceae,18,Restricted
Rhynchoryza subulata,Rhynchoryza,Poaceae,18,Restricted
Rotala wallichii,Rotala,Lythraceae,18,Restricted
Rotala welwitschii,Rotala,Lythraceae,18,Restricted
Schwenckia angustifolia,Schwenckia,Solanaceae,18,Restricted
Senna pendula,Senna,Fabaceae,18,Restricted
Sesleriella sphaerocephala,Sesleriella,Poaceae,18,Restricted
Utricularia amethystina,Utricularia,Lentibulariaceae,18,Restricted
Utricularia fulva,Utricularia,Lentibulariaceae,18,Restricted
Utricularia pusilla,Utricularia,Lentibulariaceae,18,Restricted
Utricularia simulans,Utricularia,Lentibulariaceae,18,Restricted
Veronica nevadensis,Veronica,Plantaginaceae,18,Restricted
Vigna longifolia,Vigna,Fabaceae,18,Restricted
Apinagia longifolia,Apinagia,Podostemaceae,17,Restricted
Aponogeton stuhlmannii,Aponogeton,Aponogetonaceae,17,Restricted
Ayenia scabra,Ayenia,Malvaceae,17,Restricted
Bacopa serpyllifolia,Bacopa,Plantaginaceae,17,Restricted
Caesulia axillaris,Caesulia,Asteraceae,17,Restricted
Callitriche lenisulca,Callitriche,Plantaginaceae,17,Restricted
Callitriche oreophila,Callitriche,Plantaginaceae,17,Restricted
Calystegia silvatica,Calystegia,Convolvulaceae,17,Restricted
Carex lycurus,Carex,Cyperaceae,17,Restricted
Carpha capitellata,Carpha,Cyperaceae,17,Restricted
Cuphea lindmaniana,Cuphea,Lythraceae,17,Restricted
Cyclanthera hystrix,Cyclanthera,Cucurbitaceae,17,Restricted
Cyperus pangorei,Cyperus,Cyperaceae,17,Restricted
Cyrtosperma merkusii,Cyrtosperma,Araceae,17,Restricted
Dopatrium macranthum,Dopatrium,Plantaginaceae,17,Restricted
Dopatrium senegalense,Dopatrium,Plantaginaceae,17,Restricted
Downingia insignis,Downingia,Campanulaceae,17,Restricted
Eriocaulon elichrysoides,Eriocaulon,Eriocaulaceae,17,Restricted
Eriocaulon inyangense,Eriocaulon,Eriocaulaceae,17,Restricted
Genlisea africana,Genlisea,Lentibulariaceae,17,Restricted
Genlisea hispidula,Genlisea,Lentibulariaceae,17,Restricted
Glyceria declinata,Glyceria,Poaceae,17,Restricted
Lilaeopsis minor,Lilaeopsis,Apiaceae,17,Restricted
Limnophila heterophylla,Limnophila,Plantaginaceae,17,Restricted
Limnosipanea palustris,Limnosipanea,Rubiaceae,17,Restricted
Mourera aspera,Mourera,Podostemaceae,17,Restricted
Nymphaea novogranatensis,Nymphaea,Nymphaeaceae,17,Restricted
Oplismenopsis najada,Oplismenopsis,Poaceae,17,Restricted
Ottelia exserta,Ottelia,Hydrocharitaceae,17,Restricted
Pavonia angustifolia,Pavonia,Malvaceae,17,Restricted
Pavonia laetevirens,Pavonia,Malvaceae,17,Restricted
Pogogyne serpylloides,Pogogyne,Lamiaceae,17,Restricted
Ranunculus acaulis,Ranunculus,Ranunculaceae,17,Restricted
Rhynchospora reptans,Rhynchospora,Cyperaceae,17,Restricted
Rotala elatinoides,Rotala,Lythraceae,17,Restricted
Rotala gossweileri,Rotala,Lythraceae,17,Restricted
Thaumatophyllum uliginosum,Thaumatophyllum,Araceae,17,Restricted
Thelethylax minutiflora,Thelethylax,Podostemaceae,17,Restricted
Typha grossheimii,Typha,Typhaceae,17,Restricted
Utricularia barkeri,Utricularia,Lentibulariaceae,17,Restricted
Utricularia kimberleyensis,Utricularia,Lentibulariaceae,17,Restricted
Valeriana salicariifolia,Valeriana,Caprifoliaceae,17,Restricted
Zizaniopsis bonariensis,Zizaniopsis,Poaceae,17,Restricted
Agrostis lenis,Agrostis,Poaceae,16,Restricted
Alisma wahlenbergii,Alisma,Alismataceae,16,Restricted
Aponogeton rehmannii,Aponogeton,Aponogetonaceae,16,Restricted
Aquarius pubescens,Aquarius,Alismataceae,16,Restricted
Callitriche cribrosa,Callitriche,Plantaginaceae,16,Restricted
Callitriche pedunculosa,Callitriche,Plantaginaceae,16,Restricted
Callitriche rimosa,Callitriche,Plantaginaceae,16,Restricted
Carex monostachya,Carex,Cyperaceae,16,Restricted
Eriocaulon crassiscapum,Eriocaulon,Eriocaulaceae,16,Restricted
Fimbristylis argillicola,Fimbristylis,Cyperaceae,16,Restricted
Fimbristylis disticha,Fimbristylis,Cyperaceae,16,Restricted
Letestuella tisserantii,Letestuella,Podostemaceae,16,Restricted
Limnophila connata,Limnophila,Plantaginaceae,16,Restricted
Limosella africana,Limosella,Plantaginaceae,16,Restricted
Ludwigia hookeri,Ludwigia,Onagraceae,16,Restricted
Luziola caespitosa,Luziola,Poaceae,16,Restricted
Luziola gracillima,Luziola,Poaceae,16,Restricted
Malachra radiata,Malachra,Malvaceae,16,Restricted
Nymphaea carpentariae,Nymphaea,Nymphaeaceae,16,Restricted
Nymphaea elleniae,Nymphaea,Nymphaeaceae,16,Restricted
Oxypolis ternata,Oxypolis,Apiaceae,16,Restricted
Potamogeton ferrugineus,Potamogeton,Potamogetonaceae,16,Restricted
Ranunculus apiifolius,Ranunculus,Ranunculaceae,16,Restricted
Ranunculus limosella,Ranunculus,Ranunculaceae,16,Restricted
Ranunculus sessilis,Ranunculus,Ranunculaceae,16,Restricted
Rhynchospora organensis,Rhynchospora,Cyperaceae,16,Restricted
Schoenoplectiella confusa,Schoenoplectiella,Cyperaceae,16,Restricted
Utricularia foveolata,Utricularia,Lentibulariaceae,16,Restricted
Abildgaardia triflora,Abildgaardia,Cyperaceae,15,Restricted
Callitriche longipedunculata,Callitriche,Plantaginaceae,15,Restricted
Caperonia heteropetala,Caperonia,Euphorbiaceae,15,Restricted
Cardamine variabilis,Cardamine,Brassicaceae,15,Restricted
Carex cinerascens,Carex,Cyperaceae,15,Restricted
Cyperus brevifolioides,Cyperus,Cyperaceae,15,Restricted
Cyperus cephalotes,Cyperus,Cyperaceae,15,Restricted
Eleocharis fallax,Eleocharis,Cyperaceae,15,Restricted
Eleocharis parodii,Eleocharis,Cyperaceae,15,Restricted
Eleocharis stenocarpa,Eleocharis,Cyperaceae,15,Restricted
Galianthe palustris,Galianthe,Rubiaceae,15,Restricted
Genlisea sanariapoana,Genlisea,Lentibulariaceae,15,Restricted
Hemarthria natans,Hemarthria,Poaceae,15,Restricted
Heteranthera mexicana,Heteranthera,Pontederiaceae,15,Restricted
Hydrostachys plumosa,Hydrostachys,Hydrostachyaceae,15,Restricted
Iris giganticaerulea,Iris,Iridaceae,15,Restricted
Isotoma tridens,Isotoma,Campanulaceae,15,Restricted
Juncus sorrentinoi,Juncus,Juncaceae,15,Restricted
Leptochloa aquatica,Leptochloa,Poaceae,15,Restricted
Liparophyllum capitatum,Liparophyllum,Menyanthaceae,15,Restricted
Mandevilla widgrenii,Mandevilla,Apocynaceae,15,Restricted
Myriophyllum alpinum,Myriophyllum,Haloragaceae,15,Restricted
Myriophyllum latifolium,Myriophyllum,Haloragaceae,15,Restricted
Myriophyllum laxum,Myriophyllum,Haloragaceae,15,Restricted
Najas oguraensis,Najas,Hydrocharitaceae,15,Restricted
Nechamandra alternifolia,Nechamandra,Hydrocharitaceae,15,Restricted
Orcuttia californica,Orcuttia,Poaceae,15,Restricted
Persicaria glomerata,Persicaria,Polygonaceae,15,Restricted
Sagittaria papillosa,Sagittaria,Alismataceae,15,Restricted
Steinchisma stenophyllum,Steinchisma,Poaceae,15,Restricted
Syngonanthus wahlbergii,Syngonanthus,Eriocaulaceae,15,Restricted
Thurnia polycephala,Thurnia,Thurniaceae,15,Restricted
Torreyochloa erecta,Torreyochloa,Poaceae,15,Restricted
Utricularia punctata,Utricularia,Lentibulariaceae,15,Restricted
Alstroemeria apertiflora,Alstroemeria,Alstroemeriaceae,14,Restricted
Apinagia guyanensis,Apinagia,Podostemaceae,14,Restricted
Aquarius bracteatus,Aquarius,Alismataceae,14,Restricted
Aquarius palifolius,Aquarius,Alismataceae,14,Restricted
Callitriche fassettii,Callitriche,Plantaginaceae,14,Restricted
Calystegia pubescens,Calystegia,Convolvulaceae,14,Restricted
Cuphea aperta,Cuphea,Lythraceae,14,Restricted
Eleocharis melanostachys,Eleocharis,Cyperaceae,14,Restricted
Fimbristylis pubisquama,Fimbristylis,Cyperaceae,14,Restricted
Genlisea violacea,Genlisea,Lentibulariaceae,14,Restricted
Glyceria depauperata,Glyceria,Poaceae,14,Restricted
Gonocarpus halconensis,Gonocarpus,Haloragaceae,14,Restricted
Heteranthera spicata,Heteranthera,Pontederiaceae,14,Restricted
Hydrostachys imbricata,Hydrostachys,Hydrostachyaceae,14,Restricted
Hydrostachys longifida,Hydrostachys,Hydrostachyaceae,14,Restricted
Leersia denudata,Leersia,Poaceae,14,Restricted
Lemna japonica,Lemna,Araceae,14,Restricted
Marsilea batardae,Marsilea,Marsileaceae,14,Restricted
Mayaca kunthii,Mayaca,Mayacaceae,14,Restricted
Myriophyllum petraeum,Myriophyllum,Haloragaceae,14,Restricted
Pogogyne zizyphoroides,Pogogyne,Lamiaceae,14,Restricted
Potamogeton linguatus,Potamogeton,Potamogetonaceae,14,Restricted
Rotala capensis,Rotala,Lythraceae,14,Restricted
Rotala myriophylloides,Rotala,Lythraceae,14,Restricted
Trichanthecium nervosum,Trichanthecium,Poaceae,14,Restricted
Trithuria bibracteata,Trithuria,Hydatellaceae,14,Restricted
Abolboda killipii,Abolboda,Xyridaceae,13,Restricted
Aponogeton afroviolaceus,Aponogeton,Aponogetonaceae,13,Restricted
Bacopa decumbens,Bacopa,Plantaginaceae,13,Restricted
Callitriche trochlearis,Callitriche,Plantaginaceae,13,Restricted
Caropsis verticillatoinundata,Caropsis,Apiaceae,13,Restricted
Castelnavia princeps,Castelnavia,Podostemaceae,13,Restricted
Cyperus ascopusillus,Cyperus,Cyperaceae,13,Restricted
Eleocharis argyrolepis,Eleocharis,Cyperaceae,13,Restricted
Eleocharis dunensis,Eleocharis,Cyperaceae,13,Restricted
Eleocharis haumaniana,Eleocharis,Cyperaceae,13,Restricted
Elodea callitrichoides,Elodea,Hydrocharitaceae,13,Restricted
Eriocaulon africanum,Eriocaulon,Eriocaulaceae,13,Restricted
Eryngium atlanticum,Eryngium,Apiaceae,13,Restricted
Eryngium viviparum,Eryngium,Apiaceae,13,Restricted
Glyceria leptorhiza,Glyceria,Poaceae,13,Restricted
Gymnocoronis latifolia,Gymnocoronis,Asteraceae,13,Restricted
Hydrostachys multifida,Hydrostachys,Hydrostachyaceae,13,Restricted
Hydrostachys verruculosa,Hydrostachys,Hydrostachyaceae,13,Restricted
Iris tridentata,Iris,Iridaceae,13,Restricted
Lindernia hyssopioides,Lindernia,Linderniaceae,13,Restricted
Liparophyllum exiguum,Liparophyllum,Menyanthaceae,13,Restricted
Lobelia sonderiana,Lobelia,Campanulaceae,13,Restricted
Lobelia thapsoidea,Lobelia,Campanulaceae,13,Restricted
Marsilea ephippiocarpa,Marsilea,Marsileaceae,13,Restricted
Micranthemum glomeratum,Micranthemum,Linderniaceae,13,Restricted
Murdannia gardneri,Murdannia,Commelinaceae,13,Restricted
Myriophyllum tetrandrum,Myriophyllum,Haloragaceae,13,Restricted
Najas testui,Najas,Hydrocharitaceae,13,Restricted
Ornduffia albiflora,Ornduffia,Menyanthaceae,13,Restricted
Ornduffia parnassiifolia,Ornduffia,Menyanthaceae,13,Restricted
Otostylis brachystalix,Otostylis,Orchidaceae,13,Restricted
Oxalis paludosa,Oxalis,Oxalidaceae,13,Restricted
Rorippa microtites,Rorippa,Brassicaceae,13,Restricted
Sagittaria potamogetifolia,Sagittaria,Alismataceae,13,Restricted
Schwenckia curviflora,Schwenckia,Solanaceae,13,Restricted
Syngonanthus chrysanthus,Syngonanthus,Eriocaulaceae,13,Restricted
Thaumatophyllum brasiliense,Thaumatophyllum,Araceae,13,Restricted
Utricularia dunlopii,Utricularia,Lentibulariaceae,13,Restricted
Utricularia naviculata,Utricularia,Lentibulariaceae,13,Restricted
Utricularia rigida,Utricularia,Lentibulariaceae,13,Restricted
Utricularia spruceana,Utricularia,Lentibulariaceae,13,Restricted
Andropogon tenuiberbis,Andropogon,Poaceae,12,Restricted
Barclaya longifolia,Barclaya,Nymphaeaceae,12,Restricted
Blyxa hexandra,Blyxa,Hydrocharitaceae,12,Restricted
Callitriche brachycarpa,Callitriche,Plantaginaceae,12,Restricted
Cyperus unicolor,Cyperus,Cyperaceae,12,Restricted
Downingia bella,Downingia,Campanulaceae,12,Restricted
Downingia concolor,Downingia,Campanulaceae,12,Restricted
Downingia ornatissima,Downingia,Campanulaceae,12,Restricted
Eleocharis loefgreniana,Eleocharis,Cyperaceae,12,Restricted
Eriocaulon gomphrenoides,Eriocaulon,Eriocaulaceae,12,Restricted
Eriocaulon lineare,Eriocaulon,Eriocaulaceae,12,Restricted
Eriocaulon ravenelii,Eriocaulon,Eriocaulaceae,12,Restricted
Fimbristylis consanguinea,Fimbristylis,Cyperaceae,12,Restricted
Fimbristylis griffithii,Fimbristylis,Cyperaceae,12,Restricted
Jaegeria pedunculata,Jaegeria,Asteraceae,12,Restricted
Marsilea aegyptiaca,Marsilea,Marsileaceae,12,Restricted
Marsilea berhautii,Marsilea,Marsileaceae,12,Restricted
Marsilea coromandelina,Marsilea,Marsileaceae,12,Restricted
Myriophyllum tillaeoides,Myriophyllum,Haloragaceae,12,Restricted
Nymphaea hastifolia,Nymphaea,Nymphaeaceae,12,Restricted
Paepalanthus convexus,Paepalanthus,Eriocaulaceae,12,Restricted
Paspalum crassum,Paspalum,Poaceae,12,Restricted
Pontederia reflexa,Pontederia,Pontederiaceae,12,Restricted
Potamogeton montevidensis,Potamogeton,Potamogetonaceae,12,Restricted
Prionium serratum,Prionium,Thurniaceae,12,Restricted
Rhynchospora megapotamica,Rhynchospora,Cyperaceae,12,Restricted
Rhynchospora modesti-lucennoi,Rhynchospora,Cyperaceae,12,Restricted
Rotula aquatica,Rotula,Boraginaceae,12,Restricted
Sagittaria macrophylla,Sagittaria,Alismataceae,12,Restricted
Sagittaria sanfordii,Sagittaria,Alismataceae,12,Restricted
Salvinia nymphellula,Salvinia,Salviniaceae,12,Restricted
Schoenus natans,Schoenus,Cyperaceae,12,Restricted
Thaumatophyllum tweedieanum,Thaumatophyllum,Araceae,12,Restricted
