Grid_ID,Lat,Lon,Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,MDE,HII
96,-48.4840012,-72.5,53,South America,18.91127083,665.7260417,4.748525463,0.105296996,19.22627861,0.23702042,-6.93337384,70.79493056,1571,923.0347222,65.47,2.902916667
97,-48.4840012,-71.5,49,South America,21.82865279,224.1090972,5.845140338,0.071068986,15.3706671,0.187913807,-5.904749423,26.52645833,1284,887.71875,64.84,4.008055556
98,-48.4840012,-70.5,48,South America,23.5171319,157.2833333,8.21737356,0.004797285,3.761000023,0.025616086,-5.181045719,27.05006944,621,594.0347222,62.66,6.248541667
100,-48.4840012,-68.5,48,South America,23.89460419,209.2766667,10.35751187,0.006352806,5.184055763,0.032137947,-4.351082177,42.41652778,524,243.265625,49.96,5.114583333
109,-47.4840012,-73.5,23,South America,16.33825246,1687.240269,4.457980959,0.020219756,13.76427232,-0.816622926,-7.361502312,226.1428472,2574,789.2705061,66.11,2.866618129
110,-47.4840012,-72.5,56,South America,19.71965973,695.8899306,4.768039642,0.049122222,16.00037867,0.508276391,-7.148887159,91.69895833,2356,953.71875,68.02,6.255069444
111,-47.4840012,-71.5,52,South America,22.45195833,230.3208333,5.941144967,0.039488,8.277500018,0.127615678,-6.496850117,31.72236111,2175,934.8645833,69.04,4.713194444
114,-47.4840012,-68.5,47,South America,23.67975691,223.8563889,10.79404312,0.003592313,2.790499975,0.02022098,-4.630197344,38.85909722,977,392.5972222,47.3,5.326041667
117,-47.4840012,-65.5,48,South America,20.11074661,184.6715686,10.16189355,0.005263753,2.356221367,0.382011414,-4.296945597,47.95298611,122,47.03225806,0.18,10.60418251
122,-46.4840012,-74.5,24,South America,14.0980071,2359.069708,7.715065326,0.057587512,17.18352407,-1.160860189,-7.382292235,288.9777083,674,207.9042969,63.27,3.566005905
123,-46.4840012,-73.5,26,South America,16.07166228,1820.038301,4.667772784,0.019797284,11.50937219,0.344732509,-7.476701678,286.3957639,3110,752.9454225,67.64,2.647642868
124,-46.4840012,-72.5,20,South America,19.08625695,949.425625,4.546312788,0.087608725,12.30761145,0.213316267,-7.11313137,186.2285417,1720,981.5503472,70.33,3.954305556
